==== BIONIC FLAPPING WING UAV SIMULATOR ====
Initializing Modular Simulator Loop...
Time: 1.87s | Body Z Pos: -4.8613 | Body Z Vel: -4.6146
Time: 1.88s | Body Z Pos: -4.9150 | Body Z Vel: -6.1146
Time: 1.89s | Body Z Pos: -4.9837 | Body Z Vel: -7.6146
Time: 1.90s | Body Z Pos: -5.0674 | Body Z Vel: -9.1146
Time: 1.91s | Body Z Pos: -5.1661 | Body Z Vel: -10.6146
Time: 1.92s | Body Z Pos: -5.2799 | Body Z Vel: -12.1146
Time: 1.93s | Body Z Pos: -5.4086 | Body Z Vel: -13.6146
Time: 1.94s | Body Z Pos: -5.5523 | Body Z Vel: -15.1146
Time: 1.95s | Body Z Pos: -5.7110 | Body Z Vel: -16.6146
Time: 1.96s | Body Z Pos: -5.8848 | Body Z Vel: -18.1146
Time: 1.97s | Body Z Pos: -6.0735 | Body Z Vel: -19.6146
Time: 1.98s | Body Z Pos: -6.2772 | Body Z Vel: -21.1146
Time: 1.99s | Body Z Pos: -6.4959 | Body Z Vel: -22.6146
Simulation Complete.
Data successfully exported to plot/simulation_data.csv
